LocationNo,BusinessMonth,count_SalesTransactions_12mo,count_BuyTransactions_12mo,qty_Purchased_12mo,qty_Sold_12mo,Sales_12mo,Purchases_12mo,avg_QtyPerBuy,avg_CostPerBuy,avg_ItemCost,PSRatio_12mo,6moChange_CountBuyTransactions,12moChange_CountBuyTransactions,6moChange_CountSalesTransactions,12moChange_CountSalesTransactions,6moChange_QtyPurchased,12moChange_QtyPurchased,6moChange_AvgCostPerBuy,12moChange_AvgCostPerBuy,6moChange_PSRatio,12moChange_PSRatio,VersionNo,count_VersionNoMonths
1,1/1/2014,35138,5250,189152,118142,661980.07,115447.523,36.02895238,21.99000438,0.610342597,0.1743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
1,2/1/2014,31303,4587,184985,110406,598342.835,100164.7737,40.32810116,21.83666311,0.541475113,0.1674,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
1,3/1/2014,32828,4582,176260,116888,630076.3366,101274.7375,38.46791794,22.10273625,0.57457584,0.1607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
1,4/1/2014,31672,4544,170236,113964,610566.8525,100769.3768,37.46390845,22.17635933,0.591939289,0.165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
1,5/1/2014,32211,4794,176197,119566,630333.33,105691.3189,36.7536504,22.046583,0.599847437,0.1676,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5
1,6/1/2014,32607,4980,179944,121967,639937.62,109332.3935,36.13333333,21.95429588,0.607591214,0.1708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
1,7/1/2014,33547,5120,182925,125015,654163.01,111859.2682,35.72753906,21.84751332,0.611503448,0.1709,-130,NULL,-1591,NULL,-6227,NULL,-0.142491061,NULL,-0.0034,NULL,NULL,7
1,8/1/2014,34028,5201,184596,127587,665516.4175,113128.6934,35.49240531,21.75133501,0.612844771,0.1699,614,NULL,2725,NULL,-389,NULL,-0.085328101,NULL,0.0025,NULL,NULL,8
1,9/1/2014,33559,5136,181326,125725,654656.3666,112757.0361,35.30490654,21.95425158,0.621847038,0.1722,554,NULL,731,NULL,5066,NULL,-0.148484673,NULL,0.0115,NULL,NULL,9
1,10/1/2014,32965,5031,177229,123722,643404.181,111414.4438,35.22739018,22.14558613,0.6286468,0.1731,487,NULL,1293,NULL,6993,NULL,-0.030773205,NULL,0.0081,NULL,NULL,10
1,11/1/2014,33080,4941,174061,124405,650590.2627,109929.563,35.22788909,22.24844424,0.63155769,0.1689,147,NULL,869,NULL,-2136,NULL,0.201861242,NULL,0.0013,NULL,NULL,11
1,12/1/2014,34083,4895,171329,129884,687485.4508,108883.2463,35.00081716,22.2437684,0.635521402,0.1583,-85,NULL,1476,NULL,-8615,NULL,0.289472513,NULL,-0.0125,NULL,NULL,12
1,1/1/2015,34229,4876,169400,130949,690884.1908,108459.3831,34.74159147,22.24351581,0.640256099,0.1569,-244,-374,682,-909,-13525,-19752,0.396002492,0.253511431,-0.014,-0.0174,NULL,13
1,2/1/2015,34126,4843,164915,130473,688632.3933,107710.1987,34.05224035,22.24038792,0.653125542,0.1564,-358,256,98,2823,-19681,-20070,0.489052908,0.403724808,-0.0135,-0.011,NULL,14
1,3/1/2015,34016,4829,165002,130282,688907.0875,107528.4362,34.16897908,22.26722638,0.651679593,0.156,-307,247,457,1188,-16324,-11258,0.312974805,0.164490132,-0.0162,-0.0047,NULL,15
1,4/1/2015,33994,4806,165007,129891,688152.7208,107287.3713,34.33354141,22.32363115,0.650198909,0.1559,-225,262,1029,2322,-12222,-5229,0.178045023,0.147271818,-0.0172,-0.0091,NULL,16
1,5/1/2015,34025,4754,163094,129363,688525.8083,107151.9075,34.3066891,22.53931584,0.656994785,0.1556,-187,-40,945,1814,-10967,-13103,0.290871597,0.49273284,-0.0133,-0.012,NULL,17
1,6/1/2015,33886,4719,162991,128190,685656.4366,107005.4915,34.53930918,22.6754591,0.656511657,0.156,-176,-261,-197,1279,-8338,-16953,0.431690705,0.721163218,-0.0023,-0.0148,NULL,18
1,7/1/2015,33756,4695,162733,127260,683493.1791,107122.6182,34.66091587,22.81631911,0.658272251,0.1567,-181,-425,-473,209,-6667,-20192,0.572803293,0.968805785,-0.0002,-0.0142,NULL,19
1,8/1/2015,33490,4659,160271,125319,677108.4141,106593.9372,34.40030049,22.87914514,0.665085619,0.1574,-184,-542,-636,-538,-4644,-24325,0.638757218,1.127810126,0.001,-0.0125,NULL,20
1,9/1/2015,33604,4627,159337,125748,681219.5475,105947.5208,34.43635185,22.89767037,0.664927297,0.1555,-202,-509,-412,45,-5665,-21989,0.630443987,0.943418792,-0.0005,-0.0167,NULL,21
1,10/1/2015,33723,4610,158075,125947,684592.0883,104835.1589,34.28958785,22.74081538,0.663198854,0.1531,-196,-421,-271,758,-6932,-19154,0.417184231,0.595229254,-0.0028,-0.02,NULL,22
1,11/1/2015,33618,4585,156301,125179,680910.0566,103900.9305,34.08964013,22.66105354,0.664748981,0.1525,-169,-356,-407,538,-6793,-17760,0.121737705,0.412609302,-0.0031,-0.0164,NULL,23
1,12/1/2015,33455,4559,155165,123930,676802.6275,103329.9099,34.03487607,22.66503836,0.665935681,0.1526,-160,-336,-431,-628,-7826,-16164,-0.010420738,0.421269967,-0.0034,-0.0057,NULL,24
1,1/1/2016,33413,4555,153911,123669,676329.1591,103458.2734,33.78946213,22.71312259,0.672195447,0.1529,-140,-321,-343,-816,-8822,-15489,-0.103196515,0.469606778,-0.0038,-0.004,NULL,25
1,2/1/2016,33606,4577,153135,124567,680049.9341,103963.5828,33.45750492,22.71435062,0.67890151,0.1528,-82,-266,116,-520,-7136,-11780,-0.164794516,0.473962702,-0.0046,-0.0036,NULL,26
1,3/1/2016,33549,4579,151985,124214,676539.065,103885.4369,33.19174492,22.68736338,0.683524275,0.1535,-48,-250,-55,-467,-7352,-13017,-0.210306993,0.420136994,-0.002,-0.0025,NULL,27
1,4/1/2016,33678,4566,151118,125597,686754.875,103305.4794,33.09636443,22.62494074,0.683608037,0.1504,-44,-240,-45,-316,-6957,-13889,-0.115874644,0.301309587,-0.0027,-0.0055,NULL,28
1,5/1/2016,33647,4563,150988,125697,688327.8675,102888.6265,33.08963401,22.54846077,0.681435786,0.1494,-22,-191,29,-378,-5313,-12106,-0.112592773,0.009144932,-0.0031,-0.0062,NULL,29
1,6/1/2016,33584,4534,149783,125631,688456.9658,102698.4805,33.03550948,22.65074559,0.685648441,0.1491,-25,-185,129,-302,-5382,-13208,-0.014292775,-0.024713513,-0.0035,-0.0069,NULL,30
1,7/1/2016,33656,4509,148373,125921,690376.9558,102214.68,32.90596585,22.66903526,0.688903507,0.148,-46,-186,243,-100,-5538,-14360,-0.044087328,-0.147283843,-0.0049,-0.0087,NULL,31
1,8/1/2016,33440,4477,149580,125139,687115.7583,102832.1868,33.41076614,22.96899415,0.687472836,0.1496,-100,-182,-166,-50,-3555,-10691,0.254643525,0.089849009,-0.0032,-0.0078,NULL,32
1,9/1/2016,33279,4475,149933,124622,685054.8875,102527.2077,33.50458101,22.91110787,0.683820158,0.1496,-104,-152,-270,-325,-2052,-9404,0.22374449,0.013437496,-0.0039,-0.0059,NULL,33
1,10/1/2016,33107,4491,151904,123610,682468.095,103749.6871,33.82409263,23.1016894,0.682995096,0.152,-75,-119,-571,-616,786,-6171,0.476748665,0.360874021,0.0016,-0.0011,NULL,34
1,11/1/2016,32933,4498,154316,122836,678844.9275,104566.4928,34.30769231,23.24733055,0.677612774,0.154,-65,-87,-714,-685,3328,-1985,0.698869775,0.586277003,0.0046,0.0015,NULL,35
1,12/1/2016,32794,4496,156425,122164,676470.4591,105317.8316,34.79203737,23.42478461,0.673280049,0.1556,-38,-63,-790,-661,6642,1260,0.77403902,0.759746245,0.0065,0.003,NULL,36
1,1/1/2017,32468,4470,159000,120687,670718.4733,106010.1155,35.5704698,23.71590951,0.666730286,0.158,-39,-85,-1188,-945,10627,5089,1.046874245,1.002786917,0.01,0.0051,NULL,37
1,2/1/2017,32260,4471,162993,119744,669087.18,107106.4497,36.45560277,23.95581519,0.657123003,0.16,-6,-106,-1180,-1346,13413,9858,0.986821039,1.241464564,0.0104,0.0072,NULL,38
1,3/1/2017,32111,4473,165220,118804,668192.0641,109112.0775,36.93717863,24.39348927,0.660404778,0.1632,-2,-106,-1168,-1438,15287,13235,1.482381403,1.706125893,0.0136,0.0097,NULL,39
1,4/1/2017,31947,4478,166806,117456,661922.9933,110561.0789,37.25011166,24.6898345,0.662812362,0.167,-13,-88,-1160,-1731,14902,15688,1.588145101,2.064893766,0.015,0.0166,NULL,40
1,5/1/2017,31816,4482,168619,116679,661569.4975,111765.1953,37.62137439,24.93645589,0.662826818,0.1689,-16,-81,-1117,-1831,14303,17631,1.689125343,2.387995119,0.0149,0.0195,NULL,41
1,6/1/2017,31725,4503,171357,116061,660777.4125,113789.8043,38.05396402,25.26977666,0.6640511,0.1722,7,-31,-1069,-1859,14932,21574,1.844992051,2.619031071,0.0166,0.0231,NULL,42
1,7/1/2017,31587,4538,174259,115344,660402.3558,115487.2531,38.39995593,25.44893193,0.662733363,0.1748,68,29,-881,-2069,15259,25886,1.733022423,2.779896668,0.0168,0.0268,NULL,43
1,8/1/2017,31535,4553,174303,115169,660528.655,115610.719,38.28311004,25.39220712,0.663274407,0.175,82,76,-725,-1905,11310,24723,1.436391929,2.423212968,0.015,0.0254,NULL,44
1,9/1/2017,31543,4569,174177,115556,664504.8191,116563.9079,38.12147078,25.51190805,0.669226752,0.1754,96,94,-568,-1736,8957,24244,1.118418785,2.600800188,0.0122,0.0258,NULL,45
1,10/1/2017,31532,4560,173788,115940,668459.2491,116336.3183,38.11140351,25.5123505,0.66941514,0.174,82,69,-415,-1575,6982,21884,0.822516002,2.410661103,0.007,0.022,NULL,46
1,11/1/2017,31556,4579,173356,116372,672670.805,116668.0962,37.85892116,25.47894654,0.672997163,0.1734,97,81,-260,-1377,4737,19040,0.542490648,2.231615992,0.0045,0.0194,NULL,47
1,12/1/2017,31412,4573,172273,116188,672707.0516,116643.5608,37.67176908,25.50701089,0.677085561,0.1733,70,77,-313,-1382,916,15848,0.23723423,2.082226281,0.0011,0.0177,NULL,48
1,1/1/2018,31400,4559,169366,116221,675458.7433,116071.2625,37.14981356,25.45980752,0.685328003,0.1718,21,89,-187,-1068,-4893,10366,0.010875593,1.743898016,-0.003,0.0138,NULL,49
1,2/1/2018,31389,4534,165701,116558,678744.8866,115326.2833,36.54631672,25.43588075,0.695990267,0.1699,-19,63,-146,-871,-8602,2708,0.043673629,1.480065559,-0.0051,0.0099,NULL,50
1,3/1/2018,31429,4534,164490,117148,682001.5983,114514.1241,36.27922364,25.25675432,0.696176814,0.1679,-35,61,-114,-682,-9687,-730,-0.255153731,0.863265054,-0.0075,0.0047,NULL,51
1,4/1/2018,31339,4524,163319,117142,683488.7416,114338.4869,36.10057471,25.27375926,0.700092989,0.1672,-36,46,-193,-608,-10469,-3487,-0.238591243,0.58392476,-0.0068,0.0002,NULL,52
1,5/1/2018,31141,4503,161374,116751,681751.235,114231.5796,35.83699756,25.36788354,0.707868551,0.1675,-76,21,-415,-675,-11982,-7245,-0.111062994,0.431427654,-0.0059,-0.0014,NULL,53
1,6/1/2018,31115,4490,160085,117087,684607.9525,113903.5951,35.65367483,25.36828399,0.711519475,0.1663,-83,-13,-297,-610,-12188,-11272,-0.138726903,0.098507327,-0.007,-0.0059,NULL,54
1,7/1/2018,31054,4451,157574,117249,685629.6825,113779.8037,35.40193215,25.56275078,0.722072193,0.1659,-108,-87,-346,-533,-11792,-16685,0.102943252,0.113818845,-0.0059,-0.0089,NULL,55
1,8/1/2018,31071,4430,156478,117757,690114.9375,114387.7606,35.32234763,25.82116492,0.731014971,0.1657,-104,-123,-318,-464,-9223,-17825,0.385284176,0.428957805,-0.0042,-0.0093,NULL,56
1,9/1/2018,31010,4400,155370,117503,690666.8833,113946.6059,35.31136364,25.89695589,0.733388723,0.1649,-134,-169,-419,-533,-9120,-18807,0.640201563,0.385047832,-0.003,-0.0105,NULL,57
1,10/1/2018,30803,4369,153557,116797,689794.7758,113595.98,35.14694438,26.00045319,0.739764257,0.1646,-155,-191,-536,-729,-9762,-20231,0.726693931,0.488102689,-0.0026,-0.0094,NULL,58
1,11/1/2018,30672,4354,153053,116430,689819.1125,114492.4371,35.15227377,26.29592033,0.748057451,0.1659,-149,-225,-469,-884,-8321,-20303,0.928036782,0.816973788,-0.0016,-0.0075,NULL,59
1,12/1/2018,30618,4353,154036,115809,691996.8791,115537.2852,35.38617046,26.54199063,0.750066771,0.1669,-137,-220,-497,-794,-6049,-18237,1.173706641,1.034979737,0.0006,-0.0064,NULL,60
1,1/1/2019,30461,4390,155995,115255,692279.9875,117366.8518,35.53416856,26.73504597,0.752375729,0.1695,-61,-169,-593,-939,-1579,-13371,1.172295193,1.275238445,0.0036,-0.0023,NULL,61
1,2/1/2019,30382,4415,158100,114588,691980.2408,119610.3784,35.80973952,27.09181844,0.756548883,0.1728,-15,-119,-689,-1007,1622,-7601,1.270653516,1.655937692,0.0071,0.0029,NULL,62
1,3/1/2019,30365,4417,159370,114222,694077.025,120594.4973,36.08105049,27.30235393,0.756695095,0.1737,17,-117,-645,-1064,4000,-5120,1.405398042,2.045599605,0.0088,0.0058,NULL,63
1,4/1/2019,30095,4402,158902,112962,689404.7391,120519.2152,36.09768287,27.37828605,0.758449958,0.1748,33,-122,-708,-1244,5345,-4417,1.377832859,2.10452679,0.0102,0.0076,NULL,64
1,5/1/2019,30004,4390,158510,112114,687739.74,120159.3319,36.1070615,27.37114622,0.758055214,0.1747,36,-113,-668,-1137,5457,-2864,1.075225893,2.003262674,0.0088,0.0072,NULL,65
1,6/1/2019,29884,4378,156370,111384,687654.6258,119677.8455,35.71722248,27.3361913,0.765350422,0.174,25,-112,-734,-1231,2334,-3715,0.79420067,1.967907311,0.0071,0.0077,NULL,66
1,7/1/2019,29663,4367,155420,110136,684796.6891,119313.3914,35.58964965,27.3215918,0.76768364,0.1742,-23,-84,-798,-1391,-575,-2154,0.586545834,1.758841027,0.0047,0.0083,NULL,67
2,1/1/2014,7605,1320,25578,23069,114824.88,21044,19.37727273,15.94242424,0.822738291,0.1832,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2,2/1/2014,6840,1191,22817,21677,105423.135,19211.625,19.15785055,16.13066751,0.841987334,0.1822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
2,3/1/2014,7095,1209,23439,22111,107511.3766,19089.5,19.38709677,15.78949545,0.81443321,0.1775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
2,4/1/2014,6894,1210,23296,21771,105658.5775,19355.375,19.25289256,15.99617769,0.830845424,0.1831,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
2,5/1/2014,6967,1238,23673,22943,108428.05,19687.85,19.12197092,15.9029483,0.831658429,0.1815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5
2,6/1/2014,6945,1266,24033,23108,109060.4283,19917.5,18.98341232,15.73262243,0.828756293,0.1826,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
2,7/1/2014,7140,1301,24494,23514,110934.7771,20435.3928,18.82705611,15.70745027,0.834301984,0.1842,-19,NULL,-465,NULL,-1084,NULL,-0.234973973,NULL,0.001,NULL,NULL,7
2,8/1/2014,7219,1320,24749,23968,112539.6087,20959.4707,18.74924242,15.87838689,0.846881518,0.1862,129,NULL,379,NULL,1932,NULL,-0.252280612,NULL,0.004,NULL,NULL,8
2,9/1/2014,7152,1314,24481,23762,111169.0322,20752.4198,18.63089802,15.79331796,0.847694939,0.1866,105,NULL,57,NULL,1042,NULL,0.00382251,NULL,0.0091,NULL,NULL,9
2,10/1/2014,7056,1299,24199,23586,110287.059,20363.6039,18.62894534,15.67636944,0.841506009,0.1846,89,NULL,162,NULL,903,NULL,-0.319808248,NULL,0.0015,NULL,NULL,10
2,11/1/2014,7053,1280,23904,23534,110721.6454,20062.143,18.675,15.67354922,0.839279744,0.1811,42,NULL,86,NULL,231,NULL,-0.229399085,NULL,-0.0004,NULL,NULL,11
2,12/1/2014,7158,1267,23529,23937,114587.0466,19871.0907,18.57063931,15.68357593,0.844536134,0.1734,1,NULL,213,NULL,-504,NULL,-0.049046505,NULL,-0.0092,NULL,NULL,12
2,1/1/2015,7126,1262,23401,23813,114147.035,19807.6335,18.54278922,15.69543067,0.846443891,0.1735,-39,-58,-14,-479,-1093,-2177,-0.012019603,-0.246993577,-0.0107,-0.0097,NULL,13
2,2/1/2015,7088,1260,23189,23659,113549.4108,19715.2179,18.40396825,15.64699833,0.850196986,0.1736,-60,69,-131,248,-1560,372,-0.231388561,-0.483669173,-0.0126,-0.0086,NULL,14
2,3/1/2015,7054,1262,23213,23536,113386.9216,19779.0315,18.39381933,15.67276664,0.85206701,0.1744,-52,53,-98,-41,-1268,-226,-0.12055132,-0.116728811,-0.0122,-0.0031,NULL,15
2,4/1/2015,6998,1250,22998,23278,112146.1525,19542.2622,18.3984,15.63380976,0.849737464,0.1742,-49,40,-58,104,-1201,-298,-0.042559678,-0.362367926,-0.0104,-0.0089,NULL,16
2,5/1/2015,6967,1256,23203,22832,111353.59,19783.0963,18.47372611,15.75087285,0.852609417,0.1776,-24,18,-86,0,-701,-470,0.077323632,-0.152075453,-0.0035,-0.0039,NULL,17
2,6/1/2015,6956,1265,23332,22551,110837.8458,20137.0142,18.44426877,15.9185883,0.863064212,0.1816,-2,-1,-202,11,-197,-701,0.235012373,0.185965868,0.0082,-0.001,NULL,18
2,7/1/2015,6893,1257,23303,22186,109687.2133,19988.4738,18.53858393,15.90172936,0.85776397,0.1822,-5,-44,-233,-247,-98,-1191,0.20629869,0.194279087,0.0087,-0.002,NULL,19
2,8/1/2015,6809,1249,23216,21621,108114.0975,19852.0771,18.58767014,15.89437718,0.855103252,0.1836,-11,-71,-279,-410,27,-1533,0.247378848,0.015990288,0.01,-0.0026,NULL,20
2,9/1/2015,6796,1243,23092,21382,107671.1125,19790.264,18.57763475,15.92137088,0.857018188,0.1838,-19,-71,-258,-356,-121,-1389,0.248604237,0.128052916,0.0094,-0.0028,NULL,21
2,10/1/2015,6767,1238,22972,21083,106822.8141,19860.4302,18.55573506,16.04235073,0.86454946,0.1859,-12,-61,-231,-289,-26,-1227,0.408540967,0.365981289,0.0117,0.0013,NULL,22
2,11/1/2015,6752,1240,23073,20879,106118.3941,20014.4693,18.60725806,16.14070105,0.867441135,0.1886,-16,-40,-215,-301,-130,-831,0.389828198,0.46715183,0.011,0.0075,NULL,23
2,12/1/2015,6746,1237,22972,20880,106575.8408,19852.9268,18.57073565,16.04925368,0.864222828,0.1862,-28,-30,-210,-412,-360,-557,0.130665378,0.365677751,0.0046,0.0128,NULL,24
2,1/1/2016,6714,1230,22634,20922,106511.8775,19764.0512,18.40162602,16.06833431,0.873201873,0.1855,-27,-32,-179,-412,-669,-767,0.166604953,0.372903643,0.0033,0.012,NULL,25
2,2/1/2016,6737,1233,22720,20933,106611.6291,19909.467,18.42660178,16.14717518,0.876296963,0.1867,-16,-27,-72,-351,-496,-469,0.252798001,0.500176849,0.0031,0.0131,NULL,26
2,3/1/2016,6709,1220,22317,20779,105683.76,19724.8632,18.29262295,16.16792066,0.883849227,0.1866,-23,-42,-87,-345,-775,-896,0.246549779,0.495154015,0.0028,0.0122,NULL,27
2,4/1/2016,6710,1219,22405,20715,106120.2291,19657.9057,18.37981952,16.1262557,0.87738923,0.1852,-19,-31,-57,-288,-567,-593,0.083904974,0.492445941,-0.0007,0.011,NULL,28
2,5/1/2016,6664,1198,21668,20537,105205.0983,19111.5307,18.08681135,15.95286369,0.88201637,0.1816,-42,-58,-88,-303,-1405,-1535,-0.187837359,0.201990839,-0.007,0.004,NULL,29
2,6/1/2016,6614,1175,21120,20387,104237.2091,18579.447,17.97446809,15.81229532,0.879708665,0.1782,-62,-90,-132,-342,-1852,-2212,-0.236958359,-0.106292981,-0.008,-0.0034,NULL,30
2,7/1/2016,6613,1155,20579,20379,104114.99,18248.0305,17.81731602,15.79916061,0.886730672,0.1752,-75,-102,-101,-280,-2055,-2724,-0.269173703,-0.10256875,-0.0103,-0.007,NULL,31
2,8/1/2016,6588,1142,20121,20258,103356.9325,17835.4686,17.61908932,15.61774834,0.886410646,0.1725,-91,-107,-149,-221,-2599,-3095,-0.529426846,-0.276628845,-0.0142,-0.0111,NULL,32
2,9/1/2016,6543,1123,19704,20130,102665.705,17545.4685,17.54585931,15.62374755,0.890452116,0.1708,-97,-120,-166,-253,-2613,-3388,-0.544173105,-0.297623326,-0.0158,-0.013,NULL,33
2,10/1/2016,6487,1116,19457,19812,101611.9883,17454.4298,17.43458781,15.64017007,0.897077134,0.1717,-103,-122,-223,-280,-2948,-3515,-0.48608563,-0.402180655,-0.0135,-0.0142,NULL,34
2,11/1/2016,6417,1099,18914,19570,100733.1925,17083.6808,17.21019108,15.5447505,0.903229396,0.1695,-99,-141,-247,-335,-2754,-4159,-0.408113189,-0.595950548,-0.0121,-0.0191,NULL,35
2,12/1/2016,6333,1084,18797,19238,98847.1841,17087.2018,17.3404059,15.76310129,0.909038772,0.1728,-91,-153,-281,-413,-2323,-4175,-0.049194028,-0.286152387,-0.0054,-0.0134,NULL,36
2,1/1/2017,6271,1068,18595,18787,97492.4891,16932.1808,17.41104869,15.85410187,0.91057708,0.1736,-87,-162,-342,-443,-1984,-4039,0.054941267,-0.214232436,-0.0016,-0.0119,NULL,37
2,2/1/2017,6198,1056,18709,18454,96531.0233,16760.911,17.71685606,15.87207481,0.895874232,0.1736,-86,-177,-390,-539,-1412,-4011,0.254326474,-0.275100372,0.0011,-0.0131,NULL,38
2,3/1/2017,6178,1050,18791,18326,96144.0491,16876.3481,17.89619048,16.07271248,0.898108036,0.1755,-73,-170,-365,-531,-913,-3526,0.448964925,-0.09520818,0.0047,-0.0111,NULL,39
2,4/1/2017,6129,1043,18655,18149,95410.1608,17012.3257,17.88590604,16.31095465,0.911944556,0.1783,-73,-176,-358,-581,-802,-3750,0.670784578,0.184698949,0.0066,-0.0069,NULL,40
2,5/1/2017,6090,1050,18936,17970,95226.1266,17280.2304,18.03428571,16.45736229,0.912559696,0.1814,-49,-148,-327,-574,22,-2732,0.912611785,0.504498596,0.0119,-0.0002,NULL,41
