,Date,LocationNo,SalesFloorSize,total_Income,total_IncomePerSqFt,total_PurchasesCash,total_PurchasesOther,total_CostOfGoodsSold,total_GrossProfit,total_GrossProfitPerSqFt,total_NetIncomeLoss
0,2009-01-01,00001,40396,706780.0,17.496286,132681.0,45460.0,289485.0,417295.0,10.330106,24836.0
1,2009-01-01,00002,8161,132156.0,16.193603,25212.0,9784.0,43278.0,88878.0,10.890577,13226.0
2,2009-01-01,00003,8183,195915.0,23.941708,34618.0,14727.0,79815.0,116100.0,14.18795,161977.0
3,2009-01-01,00004,6688,127631.0,19.083582,16906.0,11959.0,39744.0,87887.0,13.140998,14160.0
4,2009-01-01,00005,16239,346313.0,21.326005,50849.0,24566.0,89079.0,257234.0,15.840507,82093.0
5,2009-01-01,00006,6589,127059.0,19.283502,20486.0,8783.0,27248.0,99811.0,15.148125,31765.0
6,2009-01-01,00007,7563,150442.0,19.891841,22793.0,11631.0,57467.0,92975.0,12.293402,15614.0
7,2009-01-01,00008,8077,190190.0,23.547109,32826.0,11562.0,41117.0,149073.0,18.456481,54533.0
8,2009-01-01,00009,7218,174168.0,24.129675,25705.0,11550.0,64732.0,109436.0,15.16154,18384.0
9,2009-01-01,00010,4948,94362.0,19.070735,9976.0,10207.0,59134.0,35228.0,7.119644,-22221.0
10,2009-01-01,00011,6652,216186.0,32.499398,40058.0,26712.0,81445.0,134741.0,20.255712,24869.0
11,2009-01-01,00012,7806,158955.0,20.363182,24275.0,12967.0,61279.0,97676.0,12.512938,14111.0
12,2009-01-01,00013,6659,176230.0,26.464934,37646.0,12885.0,65572.0,110658.0,16.61781,11270.0
13,2009-01-01,00014,5936,106713.0,17.977257,22631.0,7390.0,50992.0,55721.0,9.38696,-13403.0
14,2009-01-01,00015,9276,216555.0,23.34573,31462.0,25848.0,66427.0,150128.0,16.184562,36930.0
15,2009-01-01,00016,7025,86343.0,12.290818,14824.0,8894.0,35800.0,50543.0,7.194733,-16228.0
16,2009-01-01,00017,8176,263828.0,32.26859,40688.0,18912.0,89240.0,174588.0,21.353718,46516.0
17,2009-01-01,00018,7977,205829.0,25.802808,33446.0,14436.0,84014.0,121815.0,15.270778,10613.0
18,2009-01-01,00019,5677,118486.0,20.871234,23021.0,12447.0,23906.0,94580.0,16.660207,17443.0
19,2009-01-01,00020,8966,205120.0,22.877537,34766.0,31305.0,79542.0,125578.0,14.006022,15893.0
20,2009-01-01,00021,8329,143673.0,17.249729,25980.0,9499.0,50926.0,92747.0,11.13543,16370.0
21,2009-01-01,00022,6026,206674.0,34.297046,33346.0,28455.0,93348.0,113326.0,18.806173,-8660.0
22,2009-01-01,00023,3919,142304.0,36.311303,29231.0,10474.0,38415.0,103889.0,26.509058,12139.0
23,2009-01-01,00024,6673,179185.0,26.85224,32460.0,22367.0,71435.0,107750.0,16.14716,20956.0
24,2009-01-01,00025,6742,167878.0,24.900326,21274.0,11230.0,27589.0,140289.0,20.808217,50601.0
25,2009-01-01,00026,5248,192879.0,36.752858,39372.0,13241.0,46280.0,146599.0,27.93426,40924.0
26,2009-01-01,00029,6351,195454.0,30.77531,31125.0,15800.0,53388.0,142066.0,22.369075,47023.0
27,2009-01-01,00030,7046,152730.0,21.676128,26211.0,14747.0,53013.0,99717.0,14.152284,14389.0
28,2009-01-01,00031,7971,206339.0,25.886212,38085.0,15841.0,58266.0,148073.0,18.576464,41667.0
29,2009-01-01,00032,6372,124173.0,19.487288,22626.0,11018.0,68368.0,55805.0,8.757846,-22967.0
30,2009-01-01,00033,8448,184907.0,21.887665,31781.0,17034.0,82329.0,102578.0,12.142282,4067.0
31,2009-01-01,00034,6875,227658.0,33.11389,39352.0,27167.0,81990.0,145668.0,21.188072,28316.0
32,2009-01-01,00035,7588,157678.0,20.779915,32567.0,12336.0,60744.0,96934.0,12.774644,418.0
33,2009-01-01,00036,7452,128243.0,17.209205,23109.0,13161.0,41809.0,86434.0,11.598765,10309.0
34,2009-01-01,00037,6602,142431.0,21.573916,21993.0,17721.0,53556.0,88875.0,13.461829,-3246.0
35,2009-01-01,00038,6850,189549.0,27.671386,36911.0,14901.0,81183.0,108366.0,15.819854,2942.0
36,2009-01-01,00039,7007,182869.0,26.098044,34988.0,12391.0,53506.0,129363.0,18.461966,30918.0
37,2009-01-01,00040,6663,159877.0,23.994747,27846.0,15642.0,53516.0,106361.0,15.962929,16025.0
38,2009-01-01,00041,6351,122389.0,19.270823,18590.0,6541.0,35519.0,86870.0,13.67816,10073.0
39,2009-01-01,00043,7085,143015.0,20.185603,23536.0,9807.0,-50952.0,193967.0,27.377134,110719.0
40,2009-01-01,00044,7173,120441.0,16.790882,23230.0,9721.0,48851.0,71590.0,9.980482,-12045.0
41,2009-01-01,00045,8970,180376.0,20.108807,30339.0,18332.0,88309.0,92067.0,10.263879,-14417.0
42,2009-01-01,00046,7059,121693.0,17.23941,21876.0,7827.0,41339.0,80354.0,11.383198,-506.0
43,2009-01-01,00047,9874,201893.0,20.446931,35420.0,17127.0,69000.0,132893.0,13.458881,9738.0
