,BusinessMonth,total_Income,total_PurchasesCash,total_PurchasesOther,total_CostOfGoodsSold,total_GrossProfit,total_NetIncomeLoss,total_Commissions,count_Locations,count_Locations,total_NewReceivedQty,count_BuyTransactions,total_UsedPurchaseQty,total_UsedPurchaseSipsQty,total_UsedPurchaseAmt,total_SipsItemsQty,avg_ItemCost,count_SalesTransactions,total_SalesAmount
0,2010-01-01,15364412.0,2753313.0,1794149.0,5647744.0,9716668.0,1197408.0,500.0,91,91,838822,176424,4664823,4319129,2780530.04,93890,0.596,1053870,15848032.19
1,2010-02-01,13888709.0,2174563.0,1746117.0,4705151.0,9183558.0,-223553.0,799.0,91,91,872552,134942,3627801,3314073,2167918.83,84785,0.5975,886018,13959172.64
2,2010-03-01,16144785.0,2825050.0,1619814.0,5546981.0,10597804.0,1428634.0,317.0,91,91,982017,177631,4895097,4412797,2844078.3,98593,0.581,1091902,16183144.95
3,2010-04-01,13769143.0,2677011.0,1792898.0,4700034.0,9069109.0,113941.0,334.0,91,91,929020,163123,4595559,4199987,2676567.85,102359,0.5824,893467,13769189.53
4,2010-05-01,16709313.0,3121000.0,2789684.0,5703398.0,11005915.0,1458395.0,266.0,91,91,1147277,194764,5459211,4955799,3120480.21,122237,0.5715,1057409,16734236.92
5,2010-06-01,15862748.0,3239402.0,1511622.0,5340704.0,10522044.0,961138.0,284.0,91,91,1038630,210279,5907457,5449044,3271483.65,138077,0.5537,1061383,15832173.6
6,2010-07-01,18217993.0,3337002.0,862806.0,5946342.0,12271651.0,2225599.0,305.0,91,91,527993,223603,5952419,5514512,3335616.85,145905,0.5603,1273137,18036580.63
7,2010-08-01,16712946.0,3171860.0,1316277.0,5391781.0,11321165.0,1477383.0,308.0,91,91,598069,214844,5668526,5308612,3231641.12,173141,0.5701,1078130,16227959.72
8,2010-09-01,15723257.0,2713592.0,3220876.0,5301821.0,10421436.0,738407.0,1134.0,91,91,1764105,177402,4726729,4338259,2715940.19,196302,0.5745,1007623,15420543.52
9,2010-10-01,14702263.0,2562029.0,3483705.0,5220227.0,9482036.0,68158.0,529.0,91,91,1779465,168775,4532667,4137634,2569969.74,234841,0.5669,926999,14442023.6
10,2010-11-01,15903897.0,2431166.0,2903126.0,5811749.0,10092148.0,710709.0,469.0,91,91,1811792,161362,4263130,3908934,2438919.27,268019,0.572,1014710,15769373.67
11,2010-12-01,23396024.0,2471105.0,2856399.0,8076810.0,15319214.0,4235451.0,557.0,91,91,1527821,159360,4071430,3744854,2476684.75,266593,0.6083,1303468,23750756.8
12,2011-01-01,15006064.0,2580262.0,2164767.0,4295005.0,10711059.0,977511.0,1203.0,91,91,1231206,175705,4528822,4158532,2697090.66,325223,0.5955,1013701,15193090.32
13,2011-02-01,13215325.0,2055585.0,1706633.0,4921845.0,8293480.0,-577191.0,2074.0,91,91,762089,132940,3467920,3157729,2059293.03,318073,0.5938,830057,13151286.7
14,2011-03-01,15842885.0,2617262.0,2436178.0,5969092.0,9873793.0,96356.0,877.0,91,91,1301397,171563,4558552,4159111,2628900.74,505020,0.5766,1045106,15551795.35
15,2011-04-01,13819643.0,2423444.0,1851141.0,5036159.0,8783484.0,-285167.0,36708.0,91,91,937608,158236,4132747,3767913,2459659.93,553745,0.5951,871268,13658924.91
16,2011-05-01,16099309.0,2889222.0,1939864.0,5642182.0,10457127.0,590072.0,1386.0,91,91,1041892,187073,4900631,4501151,2908143.46,689872,0.5934,988942,15809544.24
17,2011-06-01,15568479.0,3027622.0,1546624.0,4287983.0,11280496.0,2731756.0,2042.0,91,91,886247,203726,5395444,4984940,3068971.71,731965,0.5688,978362,15200984.67
18,2011-07-01,16903143.0,3108368.0,1435401.0,5732851.0,11170292.0,1364407.0,2381.0,91,91,717692,212466,5513902,5072835,3129939.8,762315,0.5676,1093833,17143777.08
