LocationNo,BusinessMonth,rollavg_Income,rollavg_Payroll,rollavg_PayrollPct,change_Income,change_Payroll,change_PayrollPct,change_BuyTransactions,change_BuyItems,change3mo_Payroll,change3mo_PayrollPct,change6mo_Payroll,change6mo_PayrollPct,change12mo_Payroll,change12mo_PayrollPct,change3mo_BuyTransactions,change3mo_BuyItems,change6mo_BuyTransactions,change6mo_BuyItems,change12mo_BuyTransactions,change12mo_BuyItems
1,10/1/2008,3.285674,3.586443,0.019272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,11/1/2008,3.389583,3.548902,0.009576,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,12/1/2008,3.383038,3.576911,0.011097,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,1/1/2009,3.419053,3.618005,0.011561,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2/1/2009,3.452974,3.574572,0.007058,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,3/1/2009,3.448113,3.526021,0.004532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,4/1/2009,3.423679,3.490068,0.003904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,5/1/2009,3.455156,3.470854,0.000921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,6/1/2009,3.405646,3.456656,0.003037,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,7/1/2009,3.37898,3.426411,0.002839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,8/1/2009,3.356791,3.404681,0.002887,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,9/1/2009,3.330922,3.393172,0.003784,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,10/1/2009,3.322176,3.363266,0.002508,0.010478,-0.057513,-0.016764,0.053574082,0.053574082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,11/1/2009,3.300005,3.35106,0.003136,-0.02298,-0.049035,-0.00644,0.002245691,0.002245691,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,12/1/2009,3.247744,3.296768,0.003049,-0.030238,-0.063147,-0.008048,-0.034369557,-0.034369557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,1/1/2010,3.2232,3.252655,0.001832,-0.04522,-0.082601,-0.009729,-0.067045111,-0.067045111,-0.057513,-0.016764,NULL,NULL,NULL,NULL,0.053574082,0.053574082,NULL,NULL,NULL,NULL
1,2/1/2010,3.176883,3.206255,0.00187,-0.065316,-0.087287,-0.005188,-0.076660411,-0.076660411,-0.049035,-0.00644,NULL,NULL,NULL,NULL,0.002245691,0.002245691,NULL,NULL,NULL,NULL
1,3/1/2010,3.144581,3.195825,0.003284,-0.071631,-0.078618,-0.001248,-0.075539861,-0.075539861,-0.063147,-0.008048,NULL,NULL,NULL,NULL,-0.034369557,-0.034369557,NULL,NULL,NULL,NULL
1,4/1/2010,3.135108,3.187867,0.003401,-0.069508,-0.073497,-0.000503,-0.079537017,-0.079537017,-0.082601,-0.009729,-0.057513,-0.016764,NULL,NULL,-0.067045111,-0.067045111,0.053574082,0.053574082,NULL,NULL
1,5/1/2010,3.125695,3.175625,0.003221,-0.078523,-0.07147,0.0023,-0.092875451,-0.092875451,-0.087287,-0.005188,-0.049035,-0.00644,NULL,NULL,-0.076660411,-0.076660411,0.002245691,0.002245691,NULL,NULL
1,6/1/2010,3.120802,3.17113,0.003254,-0.06849,-0.068923,0.000217,-0.105203632,-0.105203632,-0.078618,-0.001248,-0.063147,-0.008048,NULL,NULL,-0.075539861,-0.075539861,-0.034369557,-0.034369557,NULL,NULL
1,7/1/2010,3.118104,3.180106,0.00401,-0.062548,-0.059381,0.001171,-0.102755666,-0.102755666,-0.073497,-0.000503,-0.082601,-0.009729,NULL,NULL,-0.079537017,-0.079537017,-0.067045111,-0.067045111,NULL,NULL
1,8/1/2010,3.110382,3.183659,0.004752,-0.059004,-0.053123,0.001865,-0.093041165,-0.093041165,-0.07147,0.0023,-0.087287,-0.005188,NULL,NULL,-0.092875451,-0.092875451,-0.076660411,-0.076660411,NULL,NULL
1,9/1/2010,3.102098,3.177859,0.004915,-0.054927,-0.0515,0.001131,-0.079818617,-0.079818617,-0.068923,0.000217,-0.078618,-0.001248,NULL,NULL,-0.105203632,-0.105203632,-0.075539861,-0.075539861,NULL,NULL
1,10/1/2010,3.084105,3.189781,0.006891,-0.056779,-0.041373,0.004383,-0.078329043,-0.078329043,-0.059381,0.001171,-0.073497,-0.000503,-0.057513,-0.016764,-0.102755666,-0.102755666,-0.079537017,-0.079537017,0.053574082,0.053574082
1,11/1/2010,3.086628,3.193745,0.006972,-0.051056,-0.037461,0.003836,-0.069489245,-0.069489245,-0.053123,0.001865,-0.07147,0.0023,-0.049035,-0.00644,-0.093041165,-0.093041165,-0.092875451,-0.092875451,0.002245691,0.002245691
1,12/1/2010,3.088141,3.175458,0.00568,-0.038249,-0.028927,0.002631,-0.056940159,-0.056940159,-0.0515,0.001131,-0.068923,0.000217,-0.063147,-0.008048,-0.079818617,-0.079818617,-0.105203632,-0.105203632,-0.034369557,-0.034369557
